title,content,category
苹果发布新一代AI芯片,苹果公司今日发布搭载神经引擎的新一代AI芯片，性能较上一代提升40%，将应用于MacBook Pro系列。,科技
A股三大指数集体收涨,今日A股三大指数集体收涨，沪指涨0.8%，深成指涨1.2%，创业板指涨1.5%，成交额突破万亿。,财经
国足备战世预赛,中国男足国家队正在深圳集训，备战即将到来的世界杯亚洲区预选赛关键之战。,体育
暑期档电影票房破50亿,2025年暑期档电影总票房突破50亿元，《流浪地球3》领跑票房榜。,娱乐
教育部推进双减政策,教育部表示将继续深化双减政策，减轻学生课业负担，促进素质教育发展。,教育
国家卫健委发布健康指南,国家卫健委发布夏季健康指南，提醒公众注意防暑降温和食品安全。,健康
城市更新改造稳步推进,多地城市更新改造项目稳步推进，老旧社区面貌焕然一新。,社会
华为发布鸿蒙6.0系统,华为正式发布鸿蒙6.0操作系统，生态设备数量突破10亿台。,科技
美联储维持利率不变,美联储宣布维持联邦基金利率目标区间不变，符合市场预期。,财经
NBA总决赛激战正酣,2025年NBA总决赛进入白热化阶段，双方大比分战成2比2平。,体育
知名歌手宣布巡回演唱会,华语乐坛知名歌手宣布2025全国巡回演唱会计划，首站定在北京。,娱乐
高考改革方案公布,新高考改革方案公布，选科组合更加灵活，综合素质评价权重提高。,教育
新型疫苗研发取得进展,科研团队在新型传染病疫苗研发方面取得重要进展，进入临床试验阶段。,健康
智慧社区建设加速,全国智慧社区建设加速推进，居民享受更便捷的数字生活服务。,社会
量子计算研究获突破,国内科研团队在量子计算领域取得重大突破，算力达到新高度。,科技
人民币汇率保持稳定,人民币汇率在合理均衡水平上保持基本稳定，跨境贸易便利化水平提升。,财经
亚运会中国队金牌榜领先,亚运会赛程过半，中国队金牌榜继续领先，游泳和乒乓球项目表现突出。,体育
国产游戏出海成绩亮眼,多款国产游戏海外市场表现亮眼，文化输出效应显著。,娱乐
职业教育改革深化,职业教育改革持续深化，产教融合培养模式推广至更多院校。,教育
互联网医疗普及率提升,互联网医疗普及率持续提升，远程问诊服务覆盖更多基层地区。,健康
乡村振兴成效显著,乡村振兴战略实施以来，农村基础设施和公共服务水平显著提升。,社会
