content,category,sentiment
这款手机拍照效果真的很棒，电池续航也够用，非常满意！,科技,positive
物流太慢了，等了一个星期才到，包装还破损了。,社会,negative
这部电影剧情紧凑，演员演技在线，强烈推荐大家去看。,娱乐,positive
教练带队取得了冠军，球员们表现非常出色！,体育,positive
今天大盘震荡下行，投资者需谨慎观望。,财经,negative
这款在线教育课程讲解清晰，孩子学得很开心。,教育,positive
医院服务态度很好，医生耐心解答了我的问题。,健康,positive
这个明星绯闻太多，实在让人反感。,娱乐,negative
人工智能正在改变我们的生活方式，前景广阔。,科技,positive
股市今日大涨，多个板块表现活跃。,财经,positive
世界杯预选赛中国队踢得不错，球迷很激动。,体育,positive
这所学校师资力量雄厚，升学率很高。,教育,positive
健身三个月体重下降了十斤，身体状态明显好转。,健康,positive
社区志愿者活动很有意义，邻里关系更和睦了。,社会,positive
新产品发布会令人失望，功能并没有宣传的那么强大。,科技,negative
理财产品收益不及预期，有些后悔购买了。,财经,negative
球队主力受伤缺阵，本赛季成绩恐怕受影响。,体育,negative
网课平台经常卡顿，影响学习体验。,教育,negative
药品副作用明显，建议谨慎使用。,健康,negative
交通拥堵问题依然严重，早晚高峰出行困难。,社会,negative
游戏画面精美，操作流畅，玩起来很过瘾。,娱乐,positive
演唱会现场气氛热烈，歌手唱得太好了。,娱乐,positive
5G网络覆盖越来越广，下载速度明显提升。,科技,positive
央行宣布降准，释放长期资金约万亿元。,财经,positive
奥运会中国队再添一金，举国欢庆。,体育,positive
考研辅导班资料全面，帮助很大。,教育,positive
体检报告显示一切正常，放心了。,健康,positive
垃圾分类政策实施以来，环境改善明显。,社会,positive
软件更新后bug更多了，开发者需要改进。,科技,negative
房价调控政策持续，市场趋于平稳。,财经,neutral
比赛结果平局，双方都有机会夺冠。,体育,neutral
学校公布了新的招生简章，名额有限。,教育,neutral
医院发布了春季流感预防指南。,健康,neutral
市政府发布了新的交通规划方案。,社会,neutral
新电影定档暑期档，具体评价待上映后揭晓。,娱乐,neutral
